date,Ag_03_zCikWIdryKPjSCGsBEQ-s1abSF-bhyxpkJdZba.jpeg,Ag_GeOCn6SjIZeFdN0UJIC07A4JQXuHCo0BD-G9qMfnX.jpeg,Ag_r8zZz10Iut3PC9VllCgJz4l0yry_qJt2w5oNpZnNL.jpeg,AgiLert8kYlleMHMMQLwNSmQZTHAcgwW-uRVC7GGXoM3.jpeg,Al_mcZ14dj8PJhcpWFa1hVr9bkqc_fa47rUu5WcTB0h6.jpeg
2019-02-13,0,0,0,0,1
2019-02-14,0,0,346,228,1
2019-02-15,0,0,153,112,2
2019-02-16,0,0,41,34,0
2019-02-17,0,0,2,2,1
2019-02-18,1,0,2,1,6
2019-02-19,0,0,0,0,4
2019-02-20,0,0,0,0,2
2019-02-21,0,0,0,0,7
2019-02-22,0,0,0,0,11
2019-02-23,0,0,0,0,4
2019-02-24,0,0,0,0,5
2019-02-25,0,0,0,0,3
2019-02-26,0,0,0,0,216
2019-02-27,0,0,0,1,117
2019-02-28,0,0,0,0,17
2019-03-01,0,0,0,0,8
2019-03-02,0,0,0,0,5
2019-03-03,0,0,0,0,8
2019-03-04,3,0,0,0,5
2019-03-05,1,0,0,0,0
2019-03-06,0,0,0,0,6
2019-03-07,0,0,0,0,5
2019-03-08,3,0,0,0,6
2019-03-11,1,0,0,0,0
2019-03-12,1,0,0,0,2
2019-03-13,3,0,0,0,0
2019-03-14,2,0,0,0,0
2019-03-17,2,0,0,0,0
2019-03-18,3,0,0,0,0
2019-03-19,5,0,0,0,0
2019-03-26,2,0,0,0,0
2019-03-27,2,0,0,0,0
2019-03-28,4,0,0,0,0
2019-03-31,5,25,0,0,0
2019-04-01,6,62,0,0,0
2019-04-02,2,49,0,0,0
2019-04-03,8,53,0,0,0
2019-04-04,2,28,0,0,0
2019-04-05,2,9,0,0,0
2019-04-06,2,3,0,0,0
2019-04-07,2,0,0,0,0
2019-04-08,8,13,0,0,0
2019-04-09,31,28,0,0,0
2019-04-10,2,0,0,0,0
2019-04-11,2,0,0,0,0
2019-04-12,29,73,0,0,0
2019-04-13,20,95,0,0,0
2019-04-14,21,28,0,0,0
2019-04-15,18,1,0,0,0
2019-04-16,18,14,0,0,0
2019-04-17,20,0,0,0,0
2019-04-18,30,14,0,0,0
2019-04-19,11,0,0,0,0
2019-04-20,11,0,0,0,0
2019-04-21,59,0,0,0,0
2019-04-22,26,0,0,0,0
2019-04-23,24,0,0,0,0
2019-04-24,27,0,0,0,0
2019-04-25,12,0,0,0,0
2019-04-26,11,0,0,0,0
2019-04-27,3,0,0,0,0
2019-04-28,6,0,0,0,0
2019-04-29,9,0,0,0,0
2019-04-30,22,0,0,0,0
2019-05-01,13,0,0,0,0
2019-05-02,8,0,0,0,0
2019-05-03,6,0,0,0,0
2019-05-04,11,0,0,0,0
2019-05-05,2,0,0,0,0
2019-05-06,13,0,0,0,0
2019-05-07,15,0,0,0,0
2019-05-08,20,0,0,0,0
2019-05-09,7,0,0,0,0
2019-05-10,10,0,0,0,0
2019-05-11,31,0,0,0,0
2019-05-12,10,0,0,0,0
2019-05-13,4,0,0,0,0
2019-05-15,4,0,0,0,0
2019-05-16,4,0,0,0,0
2019-05-17,8,0,0,0,0
2019-05-18,6,0,0,0,0
2019-05-19,6,0,0,0,0
2019-05-23,1,0,0,0,0
2019-05-24,1,0,0,0,0
2019-05-25,3,0,0,0,0
2019-05-26,4,0,0,0,0
2019-05-27,4,0,0,0,0
2019-05-28,1,0,0,0,0
2019-06-02,3,0,0,0,0
2019-06-03,5,0,0,0,0
2019-06-04,5,0,0,0,0
2019-06-06,1,0,0,0,0
2019-06-08,1,0,0,0,0
2019-06-09,2,0,0,0,0
2019-06-10,2,0,0,0,0
